# Identifier	Cytoplasmic effector	Apoplastic effector	Non-effector	Prediction
FUN_009463-T1 FUN_009463	Y (0.857)	-	-	Cytoplasmic effector
FUN_009463-T2 FUN_009463	Y (0.89)	-	-	Cytoplasmic effector
FUN_009464-T1 FUN_009464	-	-	Y (0.878)	Non-effector
FUN_009465-T1 FUN_009465	Y (0.696)	-	-	Cytoplasmic effector
FUN_009466-T1 FUN_009466	-	-	Y (0.713)	Non-effector
FUN_009467-T1 FUN_009467	Y (0.825)	-	-	Cytoplasmic effector
FUN_009468-T1 FUN_009468	Y (0.928)	-	-	Cytoplasmic effector
FUN_009469-T1 FUN_009469	-	Y (0.63)	-	Apoplastic effector
FUN_009470-T1 FUN_009470	-	-	Y (0.938)	Non-effector
FUN_009471-T1 FUN_009471	-	-	Y (0.793)	Non-effector
FUN_009472-T1 FUN_009472	-	-	Y (0.757)	Non-effector
FUN_009473-T1 FUN_009473	-	-	Y (0.77)	Non-effector
FUN_009474-T1 FUN_009474	-	-	Y (0.882)	Non-effector
FUN_009475-T1 FUN_009475	-	-	Y (0.741)	Non-effector
FUN_009476-T1 FUN_009476	-	-	Y (0.878)	Non-effector
FUN_009476-T2 FUN_009476	-	-	Y (0.907)	Non-effector
FUN_009477-T1 FUN_009477	Y (0.506)	-	-	Cytoplasmic effector
FUN_009478-T1 FUN_009478	-	-	Y (0.811)	Non-effector
FUN_009479-T1 FUN_009479	-	-	Y (0.855)	Non-effector
FUN_009480-T1 FUN_009480	-	-	Y (0.916)	Non-effector
FUN_009481-T1 FUN_009481	-	-	Y (0.893)	Non-effector
FUN_009482-T1 FUN_009482	-	-	Y (0.608)	Non-effector
FUN_009483-T1 FUN_009483	-	-	Y (0.987)	Non-effector
FUN_009484-T1 FUN_009484	-	-	Y (0.875)	Non-effector
FUN_009485-T1 FUN_009485	-	-	Y (0.971)	Non-effector
FUN_009486-T1 FUN_009486	-	-	Y (0.8)	Non-effector
FUN_009487-T1 FUN_009487	-	-	Y (0.96)	Non-effector
FUN_009487-T2 FUN_009487	-	-	Y (0.96)	Non-effector
FUN_009488-T1 FUN_009488	Y (0.806)	-	-	Cytoplasmic effector
FUN_009489-T1 FUN_009489	Y (0.714)	-	-	Cytoplasmic effector
FUN_009490-T1 FUN_009490	-	-	Y (0.971)	Non-effector
FUN_009490-T2 FUN_009490	-	-	Y (0.916)	Non-effector
FUN_009490-T3 FUN_009490	-	-	Y (0.938)	Non-effector
FUN_009491-T1 FUN_009491	-	-	Y (0.774)	Non-effector
FUN_009492-T1 FUN_009492	Y (0.735)	-	-	Cytoplasmic effector
FUN_009493-T1 FUN_009493	Y (0.832)	-	-	Cytoplasmic effector
FUN_009494-T1 FUN_009494	-	-	Y (0.965)	Non-effector
FUN_009495-T1 FUN_009495	-	-	Y (0.765)	Non-effector
FUN_009496-T1 FUN_009496	-	-	Y (0.929)	Non-effector
FUN_009497-T1 FUN_009497	-	-	Y (0.84)	Non-effector
FUN_009498-T1 FUN_009498	-	-	Y (0.962)	Non-effector
FUN_009499-T1 FUN_009499	-	-	Y (0.836)	Non-effector
FUN_009500-T1 FUN_009500	-	-	Y (0.984)	Non-effector
FUN_009501-T1 FUN_009501	-	-	Y (0.987)	Non-effector
FUN_009502-T1 FUN_009502	Y (0.597)	-	-	Cytoplasmic effector
FUN_009503-T1 FUN_009503	-	-	Y (0.783)	Non-effector
FUN_009504-T1 FUN_009504	Y (0.862)	-	-	Cytoplasmic effector
FUN_009505-T1 FUN_009505	-	-	Y (0.919)	Non-effector
FUN_009506-T1 FUN_009506	-	-	Y (0.826)	Non-effector
FUN_009506-T2 FUN_009506	-	-	Y (0.855)	Non-effector
FUN_009507-T1 FUN_009507	Y (0.579)	-	-	Cytoplasmic effector
FUN_009508-T1 FUN_009508	Y (0.614)	-	-	Cytoplasmic effector
FUN_009509-T1 FUN_009509	-	-	Y (0.923)	Non-effector
FUN_009510-T1 FUN_009510	-	-	Y (0.715)	Non-effector
FUN_009511-T1 FUN_009511	-	-	Y (0.601)	Non-effector
FUN_009512-T1 FUN_009512	Y (0.561)	-	-	Cytoplasmic effector
FUN_009513-T1 FUN_009513	-	-	Y (0.783)	Non-effector
FUN_009514-T1 FUN_009514	Y (0.82)	-	-	Cytoplasmic effector
FUN_009515-T1 FUN_009515	-	-	Y (0.983)	Non-effector
FUN_009516-T1 FUN_009516	-	-	Y (0.958)	Non-effector
FUN_009517-T1 FUN_009517	-	-	Y (0.668)	Non-effector
FUN_009518-T1 FUN_009518	-	-	Y (0.656)	Non-effector
FUN_009519-T1 FUN_009519	-	-	Y (0.926)	Non-effector
FUN_009520-T1 FUN_009520	Y (0.78)	-	-	Cytoplasmic effector
FUN_009521-T1 FUN_009521	-	-	Y (0.988)	Non-effector
FUN_009522-T1 FUN_009522	-	-	Y (0.742)	Non-effector
FUN_009523-T1 FUN_009523	-	-	Y (0.646)	Non-effector
FUN_009524-T1 FUN_009524	Y (0.921)	-	-	Cytoplasmic effector
FUN_009525-T1 FUN_009525	Y (0.572)	-	-	Cytoplasmic effector
FUN_009526-T1 FUN_009526	-	-	Y (0.869)	Non-effector
FUN_009527-T1 FUN_009527	-	-	Y (0.844)	Non-effector
FUN_009528-T1 FUN_009528	-	-	Y (0.898)	Non-effector
FUN_009529-T1 FUN_009529	Y (0.731)	-	-	Cytoplasmic effector
FUN_009530-T1 FUN_009530	-	-	Y (0.973)	Non-effector
FUN_009531-T1 FUN_009531	Y (0.594)	-	-	Cytoplasmic effector
FUN_009532-T1 FUN_009532	-	-	Y (0.512)	Non-effector
FUN_009533-T1 FUN_009533	-	-	Y (0.559)	Non-effector
FUN_009534-T1 FUN_009534	-	-	Y (0.811)	Non-effector
FUN_009535-T1 FUN_009535	-	-	Y (0.961)	Non-effector
FUN_009536-T1 FUN_009536	-	-	Y (0.968)	Non-effector
FUN_009537-T1 FUN_009537	-	-	Y (0.967)	Non-effector
FUN_009538-T1 FUN_009538	Y (0.557)	-	-	Cytoplasmic effector
FUN_009539-T1 FUN_009539	Y (0.863)	-	-	Cytoplasmic effector
FUN_009540-T1 FUN_009540	-	-	Y (0.972)	Non-effector
FUN_009541-T1 FUN_009541	-	-	Y (0.505)	Non-effector
FUN_009542-T1 FUN_009542	-	-	Y (0.625)	Non-effector
FUN_009543-T1 FUN_009543	-	-	Y (0.941)	Non-effector
FUN_009544-T1 FUN_009544	-	-	Y (0.641)	Non-effector
FUN_009545-T1 FUN_009545	-	-	Y (0.988)	Non-effector
FUN_009546-T1 FUN_009546	Y (0.526)	-	-	Cytoplasmic effector
FUN_009547-T1 FUN_009547	Y (0.522)	-	-	Cytoplasmic effector
FUN_009548-T1 FUN_009548	-	-	Y (0.988)	Non-effector
FUN_009549-T1 FUN_009549	-	-	Y (0.888)	Non-effector
FUN_009550-T1 FUN_009550	-	-	Y (0.925)	Non-effector
FUN_009551-T1 FUN_009551	Y (0.63)	-	-	Cytoplasmic effector
FUN_009552-T1 FUN_009552	Y (0.871)	-	-	Cytoplasmic effector
FUN_009553-T1 FUN_009553	-	-	Y (0.869)	Non-effector
FUN_009554-T1 FUN_009554	-	-	Y (0.742)	Non-effector
FUN_009555-T1 FUN_009555	Y (0.66)	-	-	Cytoplasmic effector
FUN_009556-T1 FUN_009556	-	-	Y (0.945)	Non-effector
FUN_009557-T1 FUN_009557	-	-	Y (0.688)	Non-effector
FUN_009558-T1 FUN_009558	-	-	Y (0.873)	Non-effector
FUN_009559-T1 FUN_009559	-	-	Y (0.536)	Non-effector
FUN_009560-T1 FUN_009560	-	-	Y (0.889)	Non-effector
FUN_009561-T1 FUN_009561	Y (0.798)	-	-	Cytoplasmic effector
FUN_009562-T1 FUN_009562	-	-	Y (0.706)	Non-effector
FUN_009563-T1 FUN_009563	-	-	Y (0.857)	Non-effector
FUN_009564-T1 FUN_009564	-	-	Y (0.94)	Non-effector
FUN_009565-T1 FUN_009565	-	-	Y (0.602)	Non-effector
FUN_009566-T1 FUN_009566	-	-	Y (0.664)	Non-effector
FUN_009567-T1 FUN_009567	-	-	Y (0.732)	Non-effector
FUN_009568-T1 FUN_009568	-	-	Y (0.839)	Non-effector
FUN_009569-T1 FUN_009569	Y (0.522)	-	-	Cytoplasmic effector
FUN_009570-T1 FUN_009570	-	-	Y (0.568)	Non-effector
FUN_009571-T1 FUN_009571	-	-	Y (0.845)	Non-effector
FUN_009572-T1 FUN_009572	-	-	Y (0.827)	Non-effector
FUN_009573-T1 FUN_009573	-	-	Y (0.673)	Non-effector
FUN_009574-T1 FUN_009574	-	-	Y (0.923)	Non-effector
FUN_009575-T1 FUN_009575	-	-	Y (0.578)	Non-effector
FUN_009576-T1 FUN_009576	Y (0.763)	-	-	Cytoplasmic effector
FUN_009577-T1 FUN_009577	-	-	Y (0.882)	Non-effector
FUN_009578-T1 FUN_009578	Y (0.529)	-	-	Cytoplasmic effector
FUN_009579-T1 FUN_009579	Y (0.734)	-	-	Cytoplasmic effector
FUN_009580-T1 FUN_009580	Y (0.758)	-	-	Cytoplasmic effector
FUN_009581-T1 FUN_009581	Y (0.614)	-	-	Cytoplasmic effector
FUN_009582-T1 FUN_009582	Y (0.919)	-	-	Cytoplasmic effector
FUN_009583-T1 FUN_009583	-	-	Y (0.801)	Non-effector
FUN_009584-T1 FUN_009584	-	-	Y (0.54)	Non-effector
FUN_009585-T1 FUN_009585	Y (0.514)	-	-	Cytoplasmic effector
FUN_009586-T1 FUN_009586	-	-	Y (0.894)	Non-effector
FUN_009587-T1 FUN_009587	-	-	Y (0.986)	Non-effector
FUN_009588-T1 FUN_009588	Y (0.766)	-	-	Cytoplasmic effector
FUN_009589-T1 FUN_009589	Y (0.514)	-	-	Cytoplasmic effector
FUN_009590-T1 FUN_009590	-	-	Y (0.72)	Non-effector
FUN_009591-T1 FUN_009591	-	-	Y (0.982)	Non-effector
FUN_009592-T1 FUN_009592	-	-	Y (0.914)	Non-effector
FUN_009593-T1 FUN_009593	Y (0.79)	-	-	Cytoplasmic effector
FUN_009594-T1 FUN_009594	-	-	Y (0.691)	Non-effector
FUN_009595-T1 FUN_009595	-	-	Y (0.974)	Non-effector
FUN_009596-T1 FUN_009596	Y (0.892)	-	-	Cytoplasmic effector
FUN_009597-T1 FUN_009597	Y (0.556)	-	-	Cytoplasmic effector
FUN_009598-T1 FUN_009598	Y (0.829)	-	-	Cytoplasmic effector
FUN_009599-T1 FUN_009599	Y (0.638)	-	-	Cytoplasmic effector
FUN_009600-T1 FUN_009600	Y (0.623)	-	-	Cytoplasmic effector
FUN_009601-T1 FUN_009601	Y (0.89)	-	-	Cytoplasmic effector
FUN_009602-T1 FUN_009602	-	-	Y (0.674)	Non-effector
FUN_009603-T1 FUN_009603	Y (0.727)	-	-	Cytoplasmic effector
FUN_009604-T1 FUN_009604	Y (0.837)	-	-	Cytoplasmic effector
FUN_009605-T1 FUN_009605	Y (0.501)	Y (0.781)	-	Apoplastic/cytoplasmic effector
FUN_009606-T1 FUN_009606	-	Y (0.771)	-	Apoplastic effector
FUN_009607-T1 FUN_009607	-	Y (0.553)	-	Apoplastic effector
FUN_009608-T1 FUN_009608	-	-	Y (0.711)	Non-effector
FUN_009609-T1 FUN_009609	-	-	Y (0.791)	Non-effector
FUN_009610-T1 FUN_009610	-	-	Y (0.931)	Non-effector
FUN_009611-T1 FUN_009611	-	-	Y (0.986)	Non-effector
FUN_009612-T1 FUN_009612	-	Y (0.565)	-	Apoplastic effector
FUN_009613-T1 FUN_009613	-	-	Y (0.849)	Non-effector
FUN_009614-T1 FUN_009614	-	-	Y (0.988)	Non-effector
FUN_009615-T1 FUN_009615	Y (0.744)	-	-	Cytoplasmic effector
FUN_009616-T1 FUN_009616	-	-	Y (0.892)	Non-effector
FUN_009617-T1 FUN_009617	-	-	Y (0.982)	Non-effector
FUN_009617-T2 FUN_009617	-	-	Y (0.896)	Non-effector
FUN_009618-T1 FUN_009618	-	-	Y (0.962)	Non-effector
FUN_009619-T1 FUN_009619	Y (0.776)	-	-	Cytoplasmic effector
FUN_009620-T1 FUN_009620	Y (0.885)	-	-	Cytoplasmic effector
FUN_009621-T1 FUN_009621	Y (0.929)	-	-	Cytoplasmic effector
FUN_009622-T1 FUN_009622	-	-	Y (0.929)	Non-effector
FUN_009623-T1 FUN_009623	-	-	Y (0.615)	Non-effector
FUN_009624-T1 FUN_009624	-	-	Y (0.927)	Non-effector
FUN_009625-T1 FUN_009625	-	-	Y (0.789)	Non-effector
FUN_009626-T1 FUN_009626	-	-	Y (0.951)	Non-effector
FUN_009627-T1 FUN_009627	Y (0.705)	-	-	Cytoplasmic effector
FUN_009628-T1 FUN_009628	-	-	Y (0.699)	Non-effector
FUN_009629-T1 FUN_009629	-	-	Y (0.796)	Non-effector
FUN_009630-T1 FUN_009630	-	-	Y (0.796)	Non-effector
FUN_009631-T1 FUN_009631	Y (0.714)	-	-	Cytoplasmic effector
FUN_009632-T1 FUN_009632	-	-	Y (0.68)	Non-effector
FUN_009633-T1 FUN_009633	-	-	Y (0.623)	Non-effector
FUN_009634-T1 FUN_009634	-	-	Y (0.901)	Non-effector
FUN_009634-T2 FUN_009634	-	-	Y (0.837)	Non-effector
FUN_009635-T1 FUN_009635	-	-	Y (0.753)	Non-effector
FUN_009636-T1 FUN_009636	-	-	Y (0.926)	Non-effector
FUN_009637-T1 FUN_009637	Y (0.85)	-	-	Cytoplasmic effector
FUN_009638-T1 FUN_009638	-	-	Y (0.588)	Non-effector
FUN_009639-T1 FUN_009639	-	-	Y (0.958)	Non-effector
FUN_009640-T1 FUN_009640	-	-	Y (0.909)	Non-effector
FUN_009641-T1 FUN_009641	-	-	Y (0.903)	Non-effector
FUN_009642-T1 FUN_009642	-	-	Y (0.674)	Non-effector
FUN_009643-T1 FUN_009643	-	-	Y (0.9)	Non-effector
FUN_009644-T1 FUN_009644	-	-	Y (0.991)	Non-effector
FUN_009645-T1 FUN_009645	-	-	Y (0.821)	Non-effector
FUN_009646-T1 FUN_009646	-	-	Y (0.686)	Non-effector
FUN_009647-T1 FUN_009647	Y (0.861)	-	-	Cytoplasmic effector
FUN_009648-T1 FUN_009648	Y (0.638)	-	-	Cytoplasmic effector
FUN_009649-T1 FUN_009649	Y (0.51)	-	-	Cytoplasmic effector
FUN_009650-T1 FUN_009650	-	-	Y (0.666)	Non-effector
FUN_009651-T1 FUN_009651	-	-	Y (0.77)	Non-effector
FUN_009652-T1 FUN_009652	-	-	Y (0.689)	Non-effector
FUN_009653-T1 FUN_009653	-	-	Y (0.572)	Non-effector
FUN_009654-T1 FUN_009654	-	-	Y (0.956)	Non-effector
FUN_009655-T1 FUN_009655	-	-	Y (0.901)	Non-effector
FUN_009656-T1 FUN_009656	-	-	Y (0.679)	Non-effector
FUN_009657-T1 FUN_009657	Y (0.547)	-	-	Cytoplasmic effector
FUN_009658-T1 FUN_009658	-	-	Y (0.986)	Non-effector
FUN_009659-T1 FUN_009659	Y (0.857)	-	-	Cytoplasmic effector
FUN_009660-T1 FUN_009660	Y (0.788)	-	-	Cytoplasmic effector
FUN_009661-T1 FUN_009661	-	-	Y (0.586)	Non-effector
FUN_009662-T1 FUN_009662	-	-	Y (0.634)	Non-effector
FUN_009663-T1 FUN_009663	-	-	Y (0.926)	Non-effector
FUN_009664-T1 FUN_009664	-	-	Y (0.634)	Non-effector
FUN_009665-T1 FUN_009665	-	-	Y (0.915)	Non-effector
FUN_009666-T1 FUN_009666	Y (0.599)	-	-	Cytoplasmic effector
FUN_009667-T1 FUN_009667	-	-	Y (0.985)	Non-effector
FUN_009668-T1 FUN_009668	-	-	Y (0.61)	Non-effector
FUN_009669-T1 FUN_009669	-	-	Y (0.953)	Non-effector
FUN_009670-T1 FUN_009670	Y (0.596)	-	-	Cytoplasmic effector
FUN_009671-T1 FUN_009671	Y (0.601)	-	-	Cytoplasmic effector
FUN_009672-T1 FUN_009672	-	-	Y (0.51)	Non-effector
FUN_009673-T1 FUN_009673	Y (0.666)	-	-	Cytoplasmic effector
FUN_009674-T1 FUN_009674	-	-	Y (0.682)	Non-effector
FUN_009675-T1 FUN_009675	-	-	Y (0.542)	Non-effector
FUN_009676-T1 FUN_009676	Y (0.591)	-	-	Cytoplasmic effector
FUN_009677-T1 FUN_009677	Y (0.677)	-	-	Cytoplasmic effector
FUN_009677-T2 FUN_009677	Y (0.787)	-	-	Cytoplasmic effector
FUN_009677-T3 FUN_009677	Y (0.757)	-	-	Cytoplasmic effector
FUN_009677-T4 FUN_009677	Y (0.634)	-	-	Cytoplasmic effector
FUN_009678-T1 FUN_009678	-	-	Y (0.954)	Non-effector
FUN_009679-T1 FUN_009679	-	-	Y (0.722)	Non-effector
FUN_009680-T1 FUN_009680	Y (0.534)	-	-	Cytoplasmic effector
FUN_009681-T1 FUN_009681	-	-	Y (0.918)	Non-effector
FUN_009682-T1 FUN_009682	-	-	Y (0.764)	Non-effector
FUN_009683-T1 FUN_009683	-	-	Y (0.732)	Non-effector
FUN_009684-T1 FUN_009684	-	-	Y (0.789)	Non-effector
FUN_009685-T1 FUN_009685	-	-	Y (0.946)	Non-effector
FUN_009686-T1 FUN_009686	Y (0.532)	-	-	Cytoplasmic effector
FUN_009687-T1 FUN_009687	-	-	Y (0.787)	Non-effector
FUN_009688-T1 FUN_009688	Y (0.518)	Y (0.801)	-	Apoplastic/cytoplasmic effector
FUN_009689-T1 FUN_009689	-	-	Y (0.854)	Non-effector
FUN_009690-T1 FUN_009690	-	-	Y (0.815)	Non-effector
FUN_009691-T1 FUN_009691	-	-	Y (0.643)	Non-effector
FUN_009692-T1 FUN_009692	-	-	Y (0.695)	Non-effector
FUN_009693-T1 FUN_009693	Y (0.779)	-	-	Cytoplasmic effector
FUN_009694-T1 FUN_009694	-	-	Y (0.983)	Non-effector
FUN_009695-T1 FUN_009695	-	-	Y (0.762)	Non-effector
FUN_009696-T1 FUN_009696	-	-	Y (0.867)	Non-effector
FUN_009697-T1 FUN_009697	-	-	Y (0.528)	Non-effector
FUN_009698-T1 FUN_009698	-	-	Y (0.844)	Non-effector
FUN_009699-T1 FUN_009699	-	Y (0.535)	-	Apoplastic effector
FUN_009700-T1 FUN_009700	Y (0.572)	-	-	Cytoplasmic effector
FUN_009701-T1 FUN_009701	-	-	Y (0.524)	Non-effector
FUN_009702-T1 FUN_009702	Y (0.723)	-	-	Cytoplasmic effector
FUN_009703-T1 FUN_009703	-	-	Y (0.617)	Non-effector
FUN_009704-T1 FUN_009704	Y (0.763)	-	-	Cytoplasmic effector
FUN_009705-T1 FUN_009705	-	-	Y (0.902)	Non-effector
FUN_009706-T1 FUN_009706	-	-	Y (0.635)	Non-effector
FUN_009707-T1 FUN_009707	-	-	Y (0.961)	Non-effector
FUN_009708-T1 FUN_009708	-	-	Y (0.658)	Non-effector
FUN_009709-T1 FUN_009709	-	-	Y (0.975)	Non-effector
FUN_009710-T1 FUN_009710	-	-	Y (0.966)	Non-effector
FUN_009711-T1 FUN_009711	Y (0.701)	Y (0.705)	-	Apoplastic/cytoplasmic effector
FUN_009712-T1 FUN_009712	-	-	Y (0.541)	Non-effector
FUN_009713-T1 FUN_009713	-	-	Y (0.674)	Non-effector
FUN_009714-T1 FUN_009714	-	-	Y (0.97)	Non-effector
FUN_009715-T1 FUN_009715	Y (0.894)	-	-	Cytoplasmic effector
FUN_009716-T1 FUN_009716	-	-	Y (0.79)	Non-effector
FUN_009717-T1 FUN_009717	Y (0.808)	-	-	Cytoplasmic effector
FUN_009718-T1 FUN_009718	-	-	Y (0.984)	Non-effector
FUN_009719-T1 FUN_009719	-	-	Y (0.971)	Non-effector
FUN_009720-T1 FUN_009720	-	-	Y (0.972)	Non-effector
FUN_009721-T1 FUN_009721	-	-	Y (0.731)	Non-effector
FUN_009722-T1 FUN_009722	-	-	Y (0.84)	Non-effector
FUN_009723-T1 FUN_009723	-	-	Y (0.787)	Non-effector
FUN_009724-T1 FUN_009724	-	-	Y (0.891)	Non-effector
FUN_009725-T1 FUN_009725	-	-	Y (0.77)	Non-effector
FUN_009726-T1 FUN_009726	-	-	Y (0.597)	Non-effector
FUN_009727-T1 FUN_009727	Y (0.564)	-	-	Cytoplasmic effector
FUN_009728-T1 FUN_009728	Y (0.787)	-	-	Cytoplasmic effector
FUN_009729-T1 FUN_009729	Y (0.509)	-	-	Cytoplasmic effector
FUN_009730-T1 FUN_009730	-	-	Y (0.798)	Non-effector
FUN_009731-T1 FUN_009731	-	-	Y (0.957)	Non-effector
FUN_009732-T1 FUN_009732	-	-	Y (0.982)	Non-effector
FUN_009733-T1 FUN_009733	-	-	Y (0.506)	Non-effector
FUN_009734-T1 FUN_009734	-	-	Y (0.953)	Non-effector
FUN_009735-T1 FUN_009735	-	-	Y (0.986)	Non-effector
FUN_009736-T1 FUN_009736	-	-	Y (0.925)	Non-effector
FUN_009737-T1 FUN_009737	-	Y (0.85)	-	Apoplastic effector
FUN_009738-T1 FUN_009738	-	-	Y (0.741)	Non-effector
FUN_009739-T1 FUN_009739	-	Y (0.574)	-	Apoplastic effector
FUN_009740-T1 FUN_009740	-	-	Y (0.881)	Non-effector
FUN_009741-T1 FUN_009741	-	-	Y (0.925)	Non-effector
FUN_009742-T1 FUN_009742	Y (0.551)	-	-	Cytoplasmic effector
FUN_009743-T1 FUN_009743	-	-	Y (0.715)	Non-effector
FUN_009744-T1 FUN_009744	-	-	Y (0.873)	Non-effector
FUN_009745-T1 FUN_009745	Y (0.518)	-	-	Cytoplasmic effector
FUN_009746-T1 FUN_009746	Y (0.719)	-	-	Cytoplasmic effector
FUN_009747-T1 FUN_009747	-	-	Y (0.826)	Non-effector
FUN_009748-T1 FUN_009748	-	-	Y (0.865)	Non-effector
FUN_009749-T1 FUN_009749	-	-	Y (0.55)	Non-effector
FUN_009750-T1 FUN_009750	-	Y (0.572)	-	Apoplastic effector
FUN_009751-T1 FUN_009751	-	-	Y (0.95)	Non-effector
FUN_009752-T1 FUN_009752	-	-	Y (0.84)	Non-effector
FUN_009753-T1 FUN_009753	-	-	Y (0.738)	Non-effector
FUN_009754-T1 FUN_009754	-	-	Y (0.799)	Non-effector
FUN_009755-T1 FUN_009755	-	-	Y (0.939)	Non-effector
FUN_009756-T1 FUN_009756	-	-	Y (0.768)	Non-effector
FUN_009757-T1 FUN_009757	-	-	Y (0.682)	Non-effector
FUN_009758-T1 FUN_009758	-	-	Y (0.906)	Non-effector
FUN_009759-T1 FUN_009759	-	-	Y (0.749)	Non-effector
FUN_009760-T1 FUN_009760	-	-	Y (0.916)	Non-effector
FUN_009761-T1 FUN_009761	-	-	Y (0.705)	Non-effector
FUN_009762-T1 FUN_009762	-	-	Y (0.954)	Non-effector
FUN_009763-T1 FUN_009763	-	-	Y (0.583)	Non-effector
FUN_009764-T1 FUN_009764	-	-	Y (0.658)	Non-effector
FUN_009765-T1 FUN_009765	Y (0.872)	-	-	Cytoplasmic effector
FUN_009766-T1 FUN_009766	-	-	Y (0.962)	Non-effector
FUN_009767-T1 FUN_009767	-	-	Y (0.707)	Non-effector
FUN_009768-T1 FUN_009768	-	-	Y (0.952)	Non-effector
FUN_009769-T1 FUN_009769	-	-	Y (0.798)	Non-effector
FUN_009770-T1 FUN_009770	Y (0.802)	-	-	Cytoplasmic effector
FUN_009771-T1 FUN_009771	-	-	Y (0.696)	Non-effector
FUN_009772-T1 FUN_009772	-	-	Y (0.804)	Non-effector
FUN_009773-T1 FUN_009773	-	-	Y (0.82)	Non-effector
FUN_009774-T1 FUN_009774	-	-	Y (0.942)	Non-effector
FUN_009775-T1 FUN_009775	-	-	Y (0.861)	Non-effector
FUN_009776-T1 FUN_009776	-	-	Y (0.576)	Non-effector
FUN_009777-T1 FUN_009777	Y (0.548)	Y (0.663)	-	Apoplastic/cytoplasmic effector
FUN_009778-T1 FUN_009778	-	-	Y (0.96)	Non-effector
FUN_009779-T1 FUN_009779	-	-	Y (0.958)	Non-effector
FUN_009780-T1 FUN_009780	-	-	Y (0.751)	Non-effector
FUN_009781-T1 FUN_009781	-	-	Y (0.502)	Non-effector
FUN_009782-T1 FUN_009782	Y (0.758)	-	-	Cytoplasmic effector
FUN_009783-T1 FUN_009783	Y (0.711)	-	-	Cytoplasmic effector
FUN_009784-T1 FUN_009784	-	-	Y (0.57)	Non-effector
FUN_009785-T1 FUN_009785	Y (0.854)	-	-	Cytoplasmic effector
FUN_009786-T1 FUN_009786	Y (0.836)	-	-	Cytoplasmic effector
FUN_009787-T1 FUN_009787	Y (0.755)	-	-	Cytoplasmic effector
FUN_009788-T1 FUN_009788	Y (0.831)	-	-	Cytoplasmic effector
FUN_009789-T1 FUN_009789	-	-	Y (0.959)	Non-effector
FUN_009790-T1 FUN_009790	-	-	Y (0.511)	Non-effector
FUN_009791-T1 FUN_009791	-	-	Y (0.889)	Non-effector
FUN_009792-T1 FUN_009792	-	-	Y (0.578)	Non-effector
FUN_009793-T1 FUN_009793	-	-	Y (0.75)	Non-effector
FUN_009794-T1 FUN_009794	Y (0.663)	-	-	Cytoplasmic effector
FUN_009795-T1 FUN_009795	-	-	Y (0.782)	Non-effector
FUN_009795-T2 FUN_009795	-	-	Y (0.965)	Non-effector
FUN_009796-T1 FUN_009796	-	-	Y (0.869)	Non-effector
FUN_009797-T1 FUN_009797	Y (0.519)	-	-	Cytoplasmic effector
FUN_009798-T1 FUN_009798	Y (0.76)	-	-	Cytoplasmic effector
FUN_009799-T1 FUN_009799	Y (0.582)	-	-	Cytoplasmic effector
FUN_009800-T1 FUN_009800	-	-	Y (0.652)	Non-effector
FUN_009801-T1 FUN_009801	-	-	Y (0.584)	Non-effector
FUN_009802-T1 FUN_009802	Y (0.554)	-	-	Cytoplasmic effector
FUN_009803-T1 FUN_009803	Y (0.638)	-	-	Cytoplasmic effector
FUN_009804-T1 FUN_009804	-	-	Y (0.971)	Non-effector
FUN_009805-T1 FUN_009805	Y (0.787)	-	-	Cytoplasmic effector
FUN_009806-T1 FUN_009806	-	-	Y (0.513)	Non-effector
FUN_009807-T1 FUN_009807	-	-	Y (0.67)	Non-effector
FUN_009808-T1 FUN_009808	-	-	Y (0.773)	Non-effector
FUN_009809-T1 FUN_009809	-	-	Y (0.867)	Non-effector
FUN_009810-T1 FUN_009810	-	-	Y (0.985)	Non-effector
FUN_009810-T2 FUN_009810	-	-	Y (0.954)	Non-effector
FUN_009811-T1 FUN_009811	-	-	Y (0.887)	Non-effector
FUN_009812-T1 FUN_009812	-	-	Y (0.578)	Non-effector
FUN_009813-T1 FUN_009813	-	-	Y (0.861)	Non-effector
FUN_009814-T1 FUN_009814	-	-	Y (0.809)	Non-effector
FUN_009815-T1 FUN_009815	-	-	Y (0.711)	Non-effector
FUN_009816-T1 FUN_009816	-	-	Y (0.889)	Non-effector
FUN_009817-T1 FUN_009817	-	-	Y (0.861)	Non-effector
FUN_009818-T1 FUN_009818	Y (0.568)	-	-	Cytoplasmic effector
FUN_009819-T1 FUN_009819	-	-	Y (0.677)	Non-effector
FUN_009820-T1 FUN_009820	-	-	Y (0.564)	Non-effector
FUN_009821-T1 FUN_009821	Y (0.549)	-	-	Cytoplasmic effector
FUN_009822-T1 FUN_009822	-	-	Y (0.727)	Non-effector
FUN_009823-T1 FUN_009823	Y (0.643)	-	-	Cytoplasmic effector
FUN_009824-T1 FUN_009824	-	-	Y (0.543)	Non-effector
FUN_009825-T1 FUN_009825	-	-	Y (0.524)	Non-effector
FUN_009826-T1 FUN_009826	-	-	Y (0.889)	Non-effector
FUN_009827-T1 FUN_009827	-	-	Y (0.959)	Non-effector
FUN_009828-T1 FUN_009828	-	-	Y (0.815)	Non-effector
FUN_009830-T1 FUN_009830	Y (0.551)	-	-	Cytoplasmic effector
FUN_009831-T1 FUN_009831	-	-	Y (0.826)	Non-effector
