From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A6B1PIJ5	A0A6B1PIJ5		A0A6B1PIJ5_9ACTN	deleted			
A0A6B2YHW5	A0A6B2YHW5	unreviewed	A0A6B2YHW5_9ACTN	Lysozyme	G3I62_30625	Streptomyces sp. SID14446	317
A0A7K2FQX3	A0A7K2FQX3	unreviewed	A0A7K2FQX3_9ACTN	Hydrolase	GTW40_23360	Streptomyces sp. SID4985	258
A0A542U2H2	A0A542U2H2		A0A542U2H2_9ACTN	deleted			
A0A1Q8S4R8	A0A1Q8S4R8	unreviewed	A0A1Q8S4R8_9PEZI	Putative sterigmatocystin biosynthesis peroxidase stcC 1	CCHL11_00679	Colletotrichum chlorophyti	246
Q0CS13	Q0CS13	unreviewed	Q0CS13_ASPTN	Heme haloperoxidase family profile domain-containing protein	ATEG_03521	Aspergillus terreus (strain NIH 2624 / FGSC A1156)	242
A0A177C7A5	A0A177C7A5	unreviewed	A0A177C7A5_9PLEO	Cloroperoxidase	CC84DRAFT_1206881	Paraphaeosphaeria sporulosa	264
A0A4Z1H8N4	A0A4Z1H8N4	unreviewed	A0A4Z1H8N4_9HELO	Heme haloperoxidase family profile domain-containing protein	BHYA_0022g00480	Botrytis hyacinthi	276
A0A2S7PXF8	A0A2S7PXF8	unreviewed	A0A2S7PXF8_9HELO	Sterigmatocystin biosynthesis peroxidase stcC protein	CJF32_00010060	Rutstroemia sp. NJR-2017a WRK4	289
A0A6A6I6J7	A0A6A6I6J7	unreviewed	A0A6A6I6J7_9PLEO	GMC oxidoreductase	BU26DRAFT_567496	Trematosphaeria pertusa	880
A0A5M8PRZ8	A0A5M8PRZ8	unreviewed	A0A5M8PRZ8_9LECA	Versicolorin b synthase	FRX48_05030	Lasallia pustulata	599
L7IPI2	L7IPI2		L7IPI2_MAGOY	deleted			
A7EK31	A7EK31	unreviewed	A7EK31_SCLS1	Glucose-methanol-choline oxidoreductase N-terminal domain-containing protein	SS1G_05677	Sclerotinia sclerotiorum (strain ATCC 18683 / 1980 / Ss-1) (White mold) (Whetzelinia sclerotiorum)	543
A0A319DBN9	A0A319DBN9	unreviewed	A0A319DBN9_9EURO	FAD/NAD(P)-binding domain-containing protein	BO71DRAFT_378750	Aspergillus ellipticus CBS 707.79	394
R7YXY8	R7YXY8	unreviewed	R7YXY8_CONA1	Alpha-carbonic anhydrase domain-containing protein	W97_06212	Coniosporium apollinis (strain CBS 100218) (Rock-inhabiting black yeast)	280
A0A3M2SB97	A0A3M2SB97	unreviewed	A0A3M2SB97_9HYPO	Alpha-carbonic anhydrase domain-containing protein	CDV36_005473	Fusarium kuroshium	274
A0A0G4L7K2	A0A0G4L7K2	unreviewed	A0A0G4L7K2_9PEZI	Alpha-carbonic anhydrase domain-containing protein	BN1708_012172	Verticillium longisporum	616
A0A0G4KSU1	A0A0G4KSU1	unreviewed	A0A0G4KSU1_9PEZI	Alpha-carbonic anhydrase domain-containing protein	BN1708_010634	Verticillium longisporum	975
A0A4V6DHA8	A0A4V6DHA8	unreviewed	A0A4V6DHA8_9PEZI	Alpha carbonic anhydrase 4	ACA4 CTA1_11981	Colletotrichum tanaceti	712
A0A5C3NB46	A0A5C3NB46	unreviewed	A0A5C3NB46_9AGAM	Subtilisin-like protein	OE88DRAFT_1793613	Heliocybe sulcata	637
A0A4Z1KBX3	A0A4Z1KBX3	unreviewed	A0A4Z1KBX3_9HELO	Peptidase S53 domain-containing protein	BPOR_0745g00010	Botrytis porri	442
S8EJ40	S8EJ40	unreviewed	S8EJ40_FOMSC	Peptidase S53 domain-containing protein	FOMPIDRAFT_1158787	Fomitopsis schrenkii (Brown rot fungus)	639
A0A2J6PM38	A0A2J6PM38	unreviewed	A0A2J6PM38_9HELO	Subtilisin-like protein	NA56DRAFT_356817	Hyaloscypha hepaticicola	513
A0A1M2V8K5	A0A1M2V8K5	unreviewed	A0A1M2V8K5_TRAPU	Tripeptidyl-peptidase SED1	TRAPUB_5447	Trametes pubescens (White-rot fungus)	594
A9TFY6	A9TFY6		A9TFY6_PHYPA	deleted			
A0A1B8CHQ2	A0A1B8CHQ2	unreviewed	A0A1B8CHQ2_9PEZI	Killer toxin Kp4 domain-containing protein	VE00_02697	Pseudogymnoascus sp. WSF 3629	130
A0A179H9S4	A0A179H9S4	unreviewed	A0A179H9S4_PURLI	Kp4 domain-containing protein	VFPBJ_00219 VFPFJ_00246	Purpureocillium lilacinum (Paecilomyces lilacinus)	171
A0A2L2SSL0	A0A2L2SSL0	unreviewed	A0A2L2SSL0_9HYPO	Killer toxin Kp4 domain-containing protein		Fusarium venenatum	172
A0A2U3DWG9	A0A2U3DWG9	unreviewed	A0A2U3DWG9_PURLI	Killer toxin Kp4 domain-containing protein	PCL_05013	Purpureocillium lilacinum (Paecilomyces lilacinus)	137
A0A3M7MIS9	A0A3M7MIS9	unreviewed	A0A3M7MIS9_9PLEO	Chitin binding	GMOD_00003432	Pyrenophora seminiperda CCB06	282
A0A6G1GZU4	A0A6G1GZU4	unreviewed	A0A6G1GZU4_9PEZI	Carbohydrate-binding module family 18 protein	K402DRAFT_332665	Aulographum hederae CBS 113979	269
A0A6A5YEJ0	A0A6A5YEJ0	unreviewed	A0A6A5YEJ0_9PEZI	Carbohydrate-binding module family 18 protein	K490DRAFT_19787	Saccharata proteae CBS 121410	182
A0A6A5RLU2	A0A6A5RLU2	unreviewed	A0A6A5RLU2_9PLEO	Carbohydrate-binding module family 18 protein	M421DRAFT_419927	Didymella exigua CBS 183.55	199
A0A162ZYX2	A0A162ZYX2	unreviewed	A0A162ZYX2_DIDRA	Chitin binding	ST47_g7960	Didymella rabiei (Chickpea ascochyta blight fungus) (Mycosphaerella rabiei)	371
C1GWS1	C1GWS1	unreviewed	C1GWS1_PARBA	Extracellular membrane protein CFEM domain-containing protein	PAAG_02966	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	269
A0A1J9QV12	A0A1J9QV12	unreviewed	A0A1J9QV12_9EURO	Extracellular membrane protein CFEM domain-containing protein	ACJ73_04563	Blastomyces percursus	635
C1G4X2	C1G4X2	unreviewed	C1G4X2_PARBD	Extracellular membrane protein CFEM domain-containing protein	PADG_01988	Paracoccidioides brasiliensis (strain Pb18)	354
A0A179V764	A0A179V764	unreviewed	A0A179V764_BLAGS	Extracellular membrane protein CFEM domain-containing protein	BDBG_09528	Blastomyces gilchristii (strain SLH14081) (Blastomyces dermatitidis)	155
A0A165K404	A0A165K404	unreviewed	A0A165K404_XYLHT	Extracellular membrane protein CFEM domain-containing protein	L228DRAFT_235963	Xylona heveae (strain CBS 132557 / TC161)	362
A0A1E1LJD6	A0A1E1LJD6	unreviewed	A0A1E1LJD6_9HELO	Related to AGA1 A-agglutinin anchor subunit	RAG0_15041	Rhynchosporium agropyri	371
A0A0C3D8D2	A0A0C3D8D2	unreviewed	A0A0C3D8D2_OIDMZ	Ribosomal protein s17	OIDMADRAFT_105569	Oidiodendron maius (strain Zn)	412
A0A443I7Y8	A0A443I7Y8	unreviewed	A0A443I7Y8_BYSSP	Ribosomal protein s17	C8Q69DRAFT_396133	Byssochlamys spectabilis (Paecilomyces variotii)	277
A0A1Y2EH96	A0A1Y2EH96	unreviewed	A0A1Y2EH96_9PEZI	Uncharacterized protein	BCR38DRAFT_381082	Pseudomassariella vexata	238
A0A067LUG1	A0A067LUG1	unreviewed	A0A067LUG1_9AGAM	Uncharacterized protein	BOTBODRAFT_140781	Botryobasidium botryosum FD-172 SS1	281
A0A0D2GVE1	A0A0D2GVE1	unreviewed	A0A0D2GVE1_9EURO	Carboxylic ester hydrolase (EC 3.1.1.-)	Z517_00316	Fonsecaea pedrosoi CBS 271.37	561
W9X4S7	W9X4S7	unreviewed	W9X4S7_9EURO	Zn(2)-C6 fungal-type domain-containing protein	A1O5_01909	Cladophialophora psammophila CBS 110553	1060
A0A178AMN7	A0A178AMN7	unreviewed	A0A178AMN7_9PLEO	Carboxylic ester hydrolase (EC 3.1.1.-)	IQ06DRAFT_318770	Stagonospora sp. SRC1lsM3a	581
A0A370U1I7	A0A370U1I7	unreviewed	A0A370U1I7_9HELO	Carboxylic ester hydrolase (EC 3.1.1.-)	BP5553_01613	Venustampulla echinocandica	546
A0A6A6R5E5	A0A6A6R5E5	unreviewed	A0A6A6R5E5_9PEZI	Alpha/beta-hydrolase	BU16DRAFT_558007	Lophium mytilinum	796
A0A2T2NIQ0	A0A2T2NIQ0	unreviewed	A0A2T2NIQ0_CORCC	Yeast cell wall synthesis Kre9/Knh1-like N-terminal domain-containing protein	BS50DRAFT_575352	Corynespora cassiicola Philippines	252
A0A1L9TL52	A0A1L9TL52	unreviewed	A0A1L9TL52_9EURO	Yeast cell wall synthesis Kre9/Knh1-like N-terminal domain-containing protein	ASPSYDRAFT_150461	Aspergillus sydowii CBS 593.65	231
A0A3N4KNS3	A0A3N4KNS3	unreviewed	A0A3N4KNS3_9PEZI	Yeast cell wall synthesis Kre9/Knh1-like N-terminal domain-containing protein	P167DRAFT_536121	Morchella conica CCBAS932	180
A0A4Z1P0F5	A0A4Z1P0F5	unreviewed	A0A4Z1P0F5_9PEZI	GPI anchored serine-threonine rich protein	E6O75_ATG06864	Venturia nashicola	258
A0A443I375	A0A443I375	unreviewed	A0A443I375_BYSSP	GPI anchored serine-threonine rich protein	C8Q69DRAFT_442688	Byssochlamys spectabilis (Paecilomyces variotii)	278
A0A6A6YV25	A0A6A6YV25	unreviewed	A0A6A6YV25_9PEZI	Apple domain-containing protein	BDZ99DRAFT_558824	Mytilinidion resinicola	633
A0A0D2CZ88	A0A0D2CZ88	unreviewed	A0A0D2CZ88_9EURO	Apple domain-containing protein	PV05_04189	Exophiala xenobiotica	538
A0A6A4Y615	A0A6A4Y615	unreviewed	A0A6A4Y615_9STRA	Ig-like domain-containing protein	As57867_016803	Aphanomyces stellatus	708
A0A4S9FXQ4	A0A4S9FXQ4	unreviewed	A0A4S9FXQ4_AURPU	feruloyl esterase (EC 3.1.1.73)	D6D08_09633	Aureobasidium pullulans (Black yeast) (Pullularia pullulans)	891
A0A6A4Y0I3	A0A6A4Y0I3	unreviewed	A0A6A4Y0I3_9STRA	Endonuclease	As57867_019466	Aphanomyces stellatus	736
A0A0C3GRS3	A0A0C3GRS3	unreviewed	A0A0C3GRS3_OIDMZ	Thaumatin-like protein	OIDMADRAFT_61933	Oidiodendron maius (strain Zn)	181
A0A2K9YD91	A0A2K9YD91	unreviewed	A0A2K9YD91_CLAUC	Thaumatin-like protein		Cladonia uncialis subsp. uncialis	257
A0A1Y5HM91	A0A1Y5HM91	unreviewed	A0A1Y5HM91_UNCXX	Haloacid dehalogenase	A9R01_06395	'Osedax' symbiont bacterium Rs2_46_30_T18	252
A0A848VMR9	A0A848VMR9	unreviewed	A0A848VMR9_9BACT	HAD family phosphatase	HKN29_14645	Rhodothermales bacterium	252
A0A377PU62	A0A377PU62	unreviewed	A0A377PU62_9HELI	VirB11-interacting protein	NCTC12714_00987	Helicobacter muridarum	359
A0A6G5QIB5	A0A6G5QIB5	unreviewed	A0A6G5QIB5_9BACT	Putative RNA-binding protein (Jag domain)	CMUC_1686	Campylobacter mucosalis CCUG 21559	343
A0A818WSI9	A0A818WSI9	unreviewed	A0A818WSI9_9BILA	RBR-type E3 ubiquitin transferase (EC 2.3.2.31)	NZO219_LOCUS29594	Rotaria sp. Silwood1	847
A0A4S8QVN8	A0A4S8QVN8	unreviewed	A0A4S8QVN8_9HELO	Uncharacterized protein	BGAL_0297g00020	Botrytis galanthina	290
W9CAJ0	W9CAJ0	unreviewed	W9CAJ0_SCLBF	Uncharacterized protein	SBOR_7744	Sclerotinia borealis (strain F-4128)	353
A0A177DW10	A0A177DW10	unreviewed	A0A177DW10_ALTAL	Uncharacterized protein	CC77DRAFT_714442	Alternaria alternata (Alternaria rot fungus) (Torula alternata)	293
A0A6A5S8J8	A0A6A5S8J8	unreviewed	A0A6A5S8J8_9PLEO	Uncharacterized protein	M421DRAFT_414891	Didymella exigua CBS 183.55	309
R0KJS7	R0KJS7	unreviewed	R0KJS7_EXST2	Uncharacterized protein	SETTUDRAFT_38927	Exserohilum turcicum (strain 28A) (Northern leaf blight fungus) (Setosphaeria turcica)	295
C5FXE3	C5FXE3	unreviewed	C5FXE3_ARTOC	Uncharacterized protein	MCYG_07802	Arthroderma otae (strain ATCC MYA-4605 / CBS 113480) (Microsporum canis)	347
A0A395HEJ5	A0A395HEJ5	unreviewed	A0A395HEJ5_9EURO	Aminoglycoside phosphotransferase domain-containing protein	BO80DRAFT_461378	Aspergillus ibericus CBS 121593	344
A0A4Q4VV59	A0A4Q4VV59	unreviewed	A0A4Q4VV59_9PEZI	NmrA-like domain-containing protein	DL766_001044	Monosporascus sp. MC13-8B	283
A0A4Q4TGE0	A0A4Q4TGE0	unreviewed	A0A4Q4TGE0_9PEZI	Uncharacterized protein	DL765_009677	Monosporascus sp. GIB2	328
A0A6A5UDB4	A0A6A5UDB4	unreviewed	A0A6A5UDB4_9PLEO	Uncharacterized protein	CC80DRAFT_545501	Byssothecium circinans	329
A0A0U5HGI3	A0A0U5HGI3	unreviewed	A0A0U5HGI3_ASPCI	FAD-binding PCMH-type domain-containing protein	ASPCAL02944	Aspergillus calidoustus	515
A0A175WGG7	A0A175WGG7	unreviewed	A0A175WGG7_9PEZI	6-hydroxy-D-nicotine oxidase	MMYC01_200630	Madurella mycetomatis	510
A0A136IJN0	A0A136IJN0	unreviewed	A0A136IJN0_9PEZI	FAD-binding PCMH-type domain-containing protein	Micbo1qcDRAFT_128479	Microdochium bolleyi	474
T0MDG2	T0MDG2	unreviewed	T0MDG2_COLGC	FAD-binding PCMH-type domain-containing protein	CGLO_00681	Colletotrichum gloeosporioides (strain Cg-14) (Anthracnose fungus) (Glomerella cingulata)	588
A0A2P5HJJ2	A0A2P5HJJ2	unreviewed	A0A2P5HJJ2_9PEZI	FAD-binding PCMH-type domain-containing protein	DHEL01_v211189	Diaporthe helianthi	387
A0A1Y2LJZ5	A0A1Y2LJZ5	unreviewed	A0A1Y2LJZ5_EPING	WSC domain-containing protein	B5807_11874	Epicoccum nigrum (Soil fungus) (Epicoccum purpurascens)	1109
A0A010QAH9	A0A010QAH9	unreviewed	A0A010QAH9_9PEZI	WSC domain-containing protein	CFIO01_07368	Colletotrichum fioriniae PJ7	250
D8LDH2	D8LDH2	unreviewed	D8LDH2_ECTSI	WSC domain-containing protein	Esi_0012_0075	Ectocarpus siliculosus (Brown alga) (Conferva siliculosa)	569
A0A447BWA7	A0A447BWA7	unreviewed	A0A447BWA7_PODCO	WSC domain-containing protein	PODCO_116510	Podospora comata	521
A0A3N4JB98	A0A3N4JB98	unreviewed	A0A3N4JB98_9PEZI	WSC-domain-containing protein	L873DRAFT_1314888	Choiromyces venosus 120613-1	246
A0A287HUV6	A0A287HUV6		A0A287HUV6_HORVV	deleted			
A0A453T8J2	A0A453T8J2	unreviewed	A0A453T8J2_AEGTS	Gnk2-homologous domain-containing protein		Aegilops tauschii subsp. strangulata (Goatgrass)	209
A0A287HUT5	A0A287HUT5		A0A287HUT5_HORVV	deleted			
T0KY48	T0KY48	unreviewed	T0KY48_COLGC	PQQ enzyme repeat protein	CGLO_16897	Colletotrichum gloeosporioides (strain Cg-14) (Anthracnose fungus) (Glomerella cingulata)	543
A0A1Y1ZWW9	A0A1Y1ZWW9	unreviewed	A0A1Y1ZWW9_9PLEO	Quinon protein alcohol dehydrogenase-like superfamily	BCR34DRAFT_479049	Clohesyomyces aquaticus	422
A0A4S9MR13	A0A4S9MR13	unreviewed	A0A4S9MR13_AURPU	Uncharacterized protein	D6C97_08487	Aureobasidium pullulans (Black yeast) (Pullularia pullulans)	427
A0A4S9WZD6	A0A4S9WZD6	unreviewed	A0A4S9WZD6_AURPU	Uncharacterized protein	D6C85_05314	Aureobasidium pullulans (Black yeast) (Pullularia pullulans)	426
A0A5M3W7G9	A0A5M3W7G9	unreviewed	A0A5M3W7G9_9ACTN	CBM2 domain-containing protein	Acor_45440	Acrocarpospora corrugata	532
A0A7C0ZR66	A0A7C0ZR66	unreviewed	A0A7C0ZR66_UNCBA	DUF3124 domain-containing protein	ENF21_10565	Bacteroidota bacterium	96
A0A437QIS5	A0A437QIS5	unreviewed	A0A437QIS5_9PROT	VPLPA-CTERM sorting domain-containing protein	EOI86_23765	Hwanghaeella grinnelliae	220
A0A061ILQ7	A0A061ILQ7	unreviewed	A0A061ILQ7_CRIGR	Inhibin beta E chain	H671_1g1565	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	738
A0A0S8KZB3	A0A0S8KZB3	unreviewed	A0A0S8KZB3_9PROT	Uncharacterized protein	AMJ72_10165	Acidithiobacillales bacterium SM1_46	208
A0A094D7Z3	A0A094D7Z3	unreviewed	A0A094D7Z3_9PEZI	RlpA-like protein double-psi beta-barrel domain-containing protein	V496_04630	Pseudogymnoascus sp. VKM F-4515 (FW-2607)	160
C6H800	C6H800	unreviewed	C6H800_AJECH	Riboflavin aldehyde-forming enzyme	HCDG_01561	Ajellomyces capsulatus (strain H143) (Darling's disease fungus) (Histoplasma capsulatum)	193
A0A2S7QVE0	A0A2S7QVE0	unreviewed	A0A2S7QVE0_9HELO	Allergen Asp F7 protein	CJF32_00010246	Rutstroemia sp. NJR-2017a WRK4	250
A0A022W1W7	A0A022W1W7	unreviewed	A0A022W1W7_TRIRU	RlpA-like protein double-psi beta-barrel domain-containing protein	H103_04817	Trichophyton rubrum CBS 288.86	264
K1XV49	K1XV49	unreviewed	K1XV49_MARBU	Riboflavin aldehyde-forming enzyme	MBM_05038	Marssonina brunnea f. sp. multigermtubi (strain MB_m1) (Marssonina leaf spot fungus)	338
A0A093ZSQ2	A0A093ZSQ2	unreviewed	A0A093ZSQ2_9PEZI	F-box domain-containing protein	V491_06160	Pseudogymnoascus sp. VKM F-3775	989
A0A7U2F3J1	A0A7U2F3J1	unreviewed	A0A7U2F3J1_PHANO	Uncharacterized protein	JI435_434320	Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173) (Glume blotch fungus) (Parastagonospora nodorum)	484
A0A6A5K0Q4	A0A6A5K0Q4	unreviewed	A0A6A5K0Q4_9PLEO	Uncharacterized protein	BDW02DRAFT_99706	Decorospora gaudefroyi	1135
A0A8A3PCX8	A0A8A3PCX8	unreviewed	A0A8A3PCX8_9HELO	Uncharacterized protein	DSL72_002516	Monilinia vaccinii-corymbosi	294
A0A2D3W406	A0A2D3W406	unreviewed	A0A2D3W406_9BACT	DUF637 domain-containing protein	CFH79_10540	Sulfurospirillum sp. UBA11407	507
T0F6N0	T0F6N0	unreviewed	T0F6N0_9LEPT	Intein C-terminal splicing domain protein	LEP1GSC050_0532	Leptospira broomii serovar Hurstbridge str. 5399	492
A0A0C3GSR0	A0A0C3GSR0	unreviewed	A0A0C3GSR0_OIDMZ	Uncharacterized protein	OIDMADRAFT_184412	Oidiodendron maius (strain Zn)	212
A0A0D2M041	A0A0D2M041	unreviewed	A0A0D2M041_HYPSF	Uncharacterized protein	HYPSUDRAFT_206957	Hypholoma sublateritium (strain FD-334 SS-4)	187
A0A0C2Y167	A0A0C2Y167	unreviewed	A0A0C2Y167_HEBCY	Uncharacterized protein	M413DRAFT_14879	Hebeloma cylindrosporum h7	256
A0A1L7XJB2	A0A1L7XJB2	unreviewed	A0A1L7XJB2_9HELO	Related to monophenol monooxygenase (Tyrosinase)	PAC_14957	Phialocephala subalpina	390
A0A6A6W082	A0A6A6W082	unreviewed	A0A6A6W082_9PEZI	Tyrosinase	EJ05DRAFT_513315	Pseudovirgaria hyperparasitica	388
A0A0F7VGQ2	A0A0F7VGQ2	unreviewed	A0A0F7VGQ2_PENBI	Putative Tyrosinase central domain protein	PMG11_03957	Penicillium brasilianum	351
A0A397GN90	A0A397GN90	unreviewed	A0A397GN90_9EURO	Tyrosinase copper-binding domain-containing protein	CDV56_105598	Aspergillus thermomutatus	868
H0ESF8	H0ESF8	unreviewed	H0ESF8_GLAL7	Putative Tyrosinase	M7I_5641	Glarea lozoyensis (strain ATCC 74030 / MF5533)	325
A0A1Y2V553	A0A1Y2V553	unreviewed	A0A1Y2V553_9PEZI	Uncharacterized protein	M434DRAFT_32289	Hypoxylon sp. CO27-5	547
A0A6A6B2B8	A0A6A6B2B8	unreviewed	A0A6A6B2B8_9PEZI	Uncharacterized protein	K452DRAFT_329273	Aplosporella prunicola CBS 121167	443
A0A1V6V2X7	A0A1V6V2X7	unreviewed	A0A1V6V2X7_9EURO	Uncharacterized protein	PENCOP_c002G03017	Penicillium coprophilum	541
A0A4S3JA81	A0A4S3JA81	unreviewed	A0A4S3JA81_9EURO	Uncharacterized protein	EYZ11_009367	Aspergillus tanneri	514
A0A0C3GML0	A0A0C3GML0	unreviewed	A0A0C3GML0_PILCF	Uncharacterized protein	PILCRDRAFT_811032	Piloderma croceum (strain F 1598)	547
A0A165HBS6	A0A165HBS6	unreviewed	A0A165HBS6_XYLHT	Putative extracellular aspartic endopeptidase	L228DRAFT_246015	Xylona heveae (strain CBS 132557 / TC161)	424
A0A507AUA0	A0A507AUA0	unreviewed	A0A507AUA0_9PEZI	Peptidase A1 domain-containing protein	E0L32_008691	Thyridium curvatum	541
A0A2H4SLY8	A0A2H4SLY8	unreviewed	A0A2H4SLY8_CORMI	Eukaryotic aspartyl protease	A9K55_004691	Cordyceps militaris (Caterpillar fungus) (Clavaria militaris)	551
F7W590	F7W590	unreviewed	F7W590_SORMK	WGS project CABT00000000 data, contig 2.30	SMAC_05639	Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell)	424
A0A6A6GNG7	A0A6A6GNG7	unreviewed	A0A6A6GNG7_9PEZI	Peptidase A1 domain-containing protein	BDZ85DRAFT_212519	Elsinoe ampelina	372
A0A2T3APP8	A0A2T3APP8	unreviewed	A0A2T3APP8_AMORE	Glycoside hydrolase family 71 protein	M430DRAFT_62020	Amorphotheca resinae ATCC 22711	457
A0A5M9JWB1	A0A5M9JWB1	unreviewed	A0A5M9JWB1_MONFR	Glycoside hydrolase family 71 protein	EYC84_005388	Monilinia fructicola (Brown rot fungus) (Ciboria fructicola)	582
A0A4Q7JKM0	A0A4Q7JKM0	unreviewed	A0A4Q7JKM0_METCM	Glycoside hydrolase family 71 protein	I1G_00008466	Pochonia chlamydosporia 123	418
A0A135UTE6	A0A135UTE6	unreviewed	A0A135UTE6_9PEZI	Mutanase	CSAL01_02411	Colletotrichum salicis	392
A0A6V8QKW1	A0A6V8QKW1	unreviewed	A0A6V8QKW1_9HYPO	Mutanase Pc12g07500	TASIC1_0002024900	Trichoderma asperellum	387
A0A3D2MZ92	A0A3D2MZ92		A0A3D2MZ92_9FIRM	deleted			
A0A6A6RAX6	A0A6A6RAX6	unreviewed	A0A6A6RAX6_9PEZI	EGF-like domain-containing protein	BU16DRAFT_598654	Lophium mytilinum	246
Q2GMJ9	Q2GMJ9	unreviewed	Q2GMJ9_CHAGB	Uncharacterized protein	CHGG_10805	Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 / NRRL 1970) (Soil fungus)	433
A0A3M7P144	A0A3M7P144	unreviewed	A0A3M7P144_9EURO	Carboxypeptidase (EC 3.4.16.-)	DV736_g1	Chaetothyriales sp. CBS 134916	708
A0A179UWX9	A0A179UWX9	unreviewed	A0A179UWX9_BLAGS	Carboxypeptidase (EC 3.4.16.-)	BDBG_07019	Blastomyces gilchristii (strain SLH14081) (Blastomyces dermatitidis)	583
A0A0H1BIP6	A0A0H1BIP6	unreviewed	A0A0H1BIP6_9EURO	Carboxypeptidase (EC 3.4.16.-)	EMPG_15526	Blastomyces silverae	604
A0A6A6AVJ8	A0A6A6AVJ8	unreviewed	A0A6A6AVJ8_9PEZI	Carboxypeptidase	K452DRAFT_313776	Aplosporella prunicola CBS 121167	607
A0A0G2E5L2	A0A0G2E5L2	unreviewed	A0A0G2E5L2_9PEZI	Putative carboxypeptidase s1	UCDDS831_g06339	Diplodia seriata	523
A0A5M8PQZ5	A0A5M8PQZ5	unreviewed	A0A5M8PQZ5_9LECA	Uncharacterized protein	FRX48_04655	Lasallia pustulata	198
A0A5M8PHA6	A0A5M8PHA6	unreviewed	A0A5M8PHA6_9LECA	Uncharacterized protein	FRX48_07978	Lasallia pustulata	204
A0A5M8Q1J0	A0A5M8Q1J0	unreviewed	A0A5M8Q1J0_9LECA	Uncharacterized protein	FRX48_01945	Lasallia pustulata	185
A0A5M8PGK5	A0A5M8PGK5	unreviewed	A0A5M8PGK5_9LECA	Uncharacterized protein	FRX48_07601	Lasallia pustulata	227
A0A5M8PIG1	A0A5M8PIG1	unreviewed	A0A5M8PIG1_9LECA	Uncharacterized protein	FRX48_07177	Lasallia pustulata	121
A0A5N6T127	A0A5N6T127	unreviewed	A0A5N6T127_ASPPS	Ferritin-like domain-containing protein	BDV38DRAFT_242547	Aspergillus pseudotamarii	532
A0A5M8PU89	A0A5M8PU89	unreviewed	A0A5M8PU89_9LECA	Protein rds1	FRX48_03599	Lasallia pustulata	593
F0XKH3	F0XKH3	unreviewed	F0XKH3_GROCL	Stress response protein	CMQ_8054	Grosmannia clavigera (strain kw1407 / UAMH 11150) (Blue stain fungus) (Graphiocladiella clavigera)	937
A0A3L6N7X9	A0A3L6N7X9	unreviewed	A0A3L6N7X9_FUSOX	Protein rds1	BFJ65_g12879	Fusarium oxysporum f. sp. cepae	466
A0A162I458	A0A162I458	unreviewed	A0A162I458_9HYPO	Protein rds1	AAL_08116	Moelleriella libera RCEF 2490	467
A0A6A6IEF5	A0A6A6IEF5	unreviewed	A0A6A6IEF5_9PLEO	Extracellular membrane protein CFEM domain-containing protein	BU26DRAFT_330719	Trematosphaeria pertusa	107
A0A3F3Q1J8	A0A3F3Q1J8	unreviewed	A0A3F3Q1J8_9EURO	Secreted protein CSS2 C-terminal domain-containing protein	BDQ94DRAFT_170771	Aspergillus welwitschiae	205
A0A853WVZ8	A0A853WVZ8		A0A853WVZ8_9BURK	deleted			
A0A397GHA5	A0A397GHA5	unreviewed	A0A397GHA5_9EURO	Secreted protein CSS2 C-terminal domain-containing protein	CDV56_105778	Aspergillus thermomutatus	266
A0A7U4TB12	A0A7U4TB12		A0A7U4TB12_9GAMM	deleted			
A0A6L9IID9	A0A6L9IID9	unreviewed	A0A6L9IID9_UNCCH	Uncharacterized protein	GYB67_01290	Chloroflexota bacterium	130
A0A4U0V102	A0A4U0V102	unreviewed	A0A4U0V102_9PEZI	ASST-domain-containing protein	B0A54_06218	Friedmanniomyces endolithicus	535
A0A6G1KWJ1	A0A6G1KWJ1	unreviewed	A0A6G1KWJ1_9PEZI	ASST-domain-containing protein	EJ03DRAFT_339586	Teratosphaeria nubilosa	535
A0A3M7FFB9	A0A3M7FFB9	unreviewed	A0A3M7FFB9_HORWE	Uncharacterized protein	D0862_10672	Hortaea werneckii	881
A0A3M6YXQ6	A0A3M6YXQ6	unreviewed	A0A3M6YXQ6_HORWE	ASST-domain-containing protein	D0867_09294	Hortaea werneckii	640
A0A3M7C6E4	A0A3M7C6E4	unreviewed	A0A3M7C6E4_HORWE	ASST-domain-containing protein	D0865_08583	Hortaea werneckii	501
A0A4V1XWP0	A0A4V1XWP0	unreviewed	A0A4V1XWP0_9PEZI	WSC domain-containing protein	DL771_001472	Monosporascus sp. 5C6A	1023
A0A2S7P064	A0A2S7P064	unreviewed	A0A2S7P064_9HELO	WSC domain-containing protein	CJF31_00007459	Rutstroemia sp. NJR-2017a BVV2	676
A0A1Y2VRL5	A0A1Y2VRL5	unreviewed	A0A1Y2VRL5_9PEZI	Putative glyoxal oxidase	M426DRAFT_325039	Hypoxylon sp. CI-4A	1069
